target_col,feature_label,split_type,split_id,model_name,task_type,n,p,n_train,n_test,model_params,test_spearman,test_pearson,test_r2,test_mae,test_rmse,train_spearman,train_pearson,train_r2,train_mae,train_rmse
foldchange_ABTS_activity_25C,onehot,custom,0,rf,regression,334,4860,282,52,"{'n_estimators': 300, 'random_state': 42, 'n_jobs': -1}",0.4573,0.4537,0.1928,0.6133,0.8258,0.9688,0.9701,0.9131,0.1605,0.3198
foldchange_ABTS_activity_25C,onehot,custom,0,ridge,regression,334,4860,282,52,{'alpha': 1.0},0.4971,0.4622,0.0579,0.7319,0.8921,0.8525,0.8104,0.654,0.3325,0.6382
foldchange_ABTS_activity_25C,onehot,custom,0,xgboost,regression,334,4860,282,52,"{'n_estimators': 400, 'learning_rate': 0.05, 'max_depth': 6, 'random_state': 42}",0.5238,0.4769,0.1415,0.6998,0.8517,0.9434,0.9782,0.9531,0.1595,0.235
foldchange_ABTS_activity_25C,georgiev,custom,0,rf,regression,334,4617,282,52,"{'n_estimators': 300, 'random_state': 42, 'n_jobs': -1}",0.4742,0.4648,0.2072,0.6095,0.8184,0.9677,0.9695,0.9104,0.1649,0.3247
foldchange_ABTS_activity_25C,georgiev,custom,0,ridge,regression,334,4617,282,52,{'alpha': 1.0},0.3932,0.3594,-0.4691,0.869,1.1141,0.8743,0.8177,0.6686,0.2895,0.6246
foldchange_ABTS_activity_25C,georgiev,custom,0,xgboost,regression,334,4617,282,52,"{'n_estimators': 400, 'learning_rate': 0.05, 'max_depth': 6, 'random_state': 42}",0.5162,0.4575,0.143,0.6906,0.8509,0.9488,0.9804,0.9583,0.1421,0.2215
foldchange_ABTS_activity_25C,onehot_esm2_LLR,custom,0,rf,regression,334,4861,282,52,"{'n_estimators': 300, 'random_state': 42, 'n_jobs': -1}",0.4089,0.4386,-12.2464,3.0781,3.3453,0.9695,0.9765,0.9197,0.1595,0.3074
foldchange_ABTS_activity_25C,onehot_esm2_LLR,custom,0,ridge,regression,334,4861,282,52,{'alpha': 1.0},0.5106,0.5004,0.0016,0.7436,0.9184,0.8495,0.8103,0.6549,0.3328,0.6373
foldchange_ABTS_activity_25C,onehot_esm2_LLR,custom,0,xgboost,regression,334,4861,282,52,"{'n_estimators': 400, 'learning_rate': 0.05, 'max_depth': 6, 'random_state': 42}",0.2573,0.3162,-9.021,2.5468,2.9097,0.9676,0.9887,0.9753,0.1194,0.1705
foldchange_ABTS_activity_25C,onehot_esmc_LLR,custom,0,rf,regression,334,4861,282,52,"{'n_estimators': 300, 'random_state': 42, 'n_jobs': -1}",0.7518,0.6859,0.2173,0.6648,0.8132,0.9711,0.9745,0.9207,0.153,0.3054
foldchange_ABTS_activity_25C,onehot_esmc_LLR,custom,0,ridge,regression,334,4861,282,52,{'alpha': 1.0},0.5221,0.4863,0.0271,0.73,0.9066,0.8513,0.8104,0.6552,0.3322,0.6371
foldchange_ABTS_activity_25C,onehot_esmc_LLR,custom,0,xgboost,regression,334,4861,282,52,"{'n_estimators': 400, 'learning_rate': 0.05, 'max_depth': 6, 'random_state': 42}",0.701,0.6388,0.2739,0.613,0.7832,0.9719,0.9903,0.9787,0.1128,0.1582
foldchange_ABTS_activity_25C,esm2_seq_embeddings,custom,0,rf,regression,334,1280,282,52,"{'n_estimators': 300, 'random_state': 42, 'n_jobs': -1}",0.5605,0.5471,0.2696,0.6239,0.7856,0.9644,0.9725,0.9073,0.1841,0.3303
foldchange_ABTS_activity_25C,esm2_seq_embeddings,custom,0,ridge,regression,334,1280,282,52,{'alpha': 1.0},0.5802,0.5572,0.0094,0.6392,0.9148,0.5169,0.5699,0.1259,0.6028,1.0144
foldchange_ABTS_activity_25C,esm2_seq_embeddings,custom,0,xgboost,regression,334,1280,282,52,"{'n_estimators': 400, 'learning_rate': 0.05, 'max_depth': 6, 'random_state': 42}",0.4828,0.3736,-0.3978,0.7797,1.0867,1.0,1.0,1.0,0.0003,0.0004
foldchange_ABTS_activity_25C,esmc_seq_embeddings,custom,0,rf,regression,334,1152,282,52,"{'n_estimators': 300, 'random_state': 42, 'n_jobs': -1}",0.6136,0.5977,-0.1832,0.7326,0.9998,0.9532,0.9655,0.9039,0.1866,0.3364
foldchange_ABTS_activity_25C,esmc_seq_embeddings,custom,0,ridge,regression,334,1152,282,52,{'alpha': 1.0},0.3955,0.3343,-4.7034,1.5283,2.1951,0.9566,0.9669,0.9335,0.158,0.2797
foldchange_ABTS_activity_25C,esmc_seq_embeddings,custom,0,xgboost,regression,334,1152,282,52,"{'n_estimators': 400, 'learning_rate': 0.05, 'max_depth': 6, 'random_state': 42}",0.5629,0.4891,-2.2768,1.1538,1.6638,1.0,1.0,1.0,0.0003,0.0005
foldchange_ABTS_activity_25C,esm2_seq_embeddings_LLR,custom,0,rf,regression,334,1281,282,52,"{'n_estimators': 300, 'random_state': 42, 'n_jobs': -1}",0.5942,0.5878,0.2465,0.6509,0.7978,0.9608,0.9704,0.9047,0.188,0.3349
foldchange_ABTS_activity_25C,esm2_seq_embeddings_LLR,custom,0,ridge,regression,334,1281,282,52,{'alpha': 1.0},0.4465,0.4722,-1.2153,1.1996,1.3681,0.5188,0.5383,0.2857,0.5613,0.917
foldchange_ABTS_activity_25C,esm2_seq_embeddings_LLR,custom,0,xgboost,regression,334,1281,282,52,"{'n_estimators': 400, 'learning_rate': 0.05, 'max_depth': 6, 'random_state': 42}",0.467,0.3614,-0.4395,0.7967,1.1028,1.0,1.0,1.0,0.0003,0.0004
foldchange_ABTS_activity_25C,esmc_seq_embeddings_LLR,custom,0,rf,regression,334,1153,282,52,"{'n_estimators': 300, 'random_state': 42, 'n_jobs': -1}",0.5934,0.5788,-0.2738,0.7545,1.0374,0.9544,0.9652,0.9037,0.1856,0.3367
foldchange_ABTS_activity_25C,esmc_seq_embeddings_LLR,custom,0,ridge,regression,334,1153,282,52,{'alpha': 1.0},0.3959,0.3438,-4.6733,1.5222,2.1893,0.9567,0.9669,0.9336,0.1577,0.2795
foldchange_ABTS_activity_25C,esmc_seq_embeddings_LLR,custom,0,xgboost,regression,334,1153,282,52,"{'n_estimators': 400, 'learning_rate': 0.05, 'max_depth': 6, 'random_state': 42}",0.5644,0.499,-2.3899,1.1855,1.6923,1.0,1.0,1.0,0.0003,0.0005
foldchange_NBD_activity_25C,onehot,random,0,rf,regression,282,4860,225,57,"{'n_estimators': 300, 'random_state': 42, 'n_jobs': -1}",0.6745,0.6405,0.3608,0.3515,0.511,0.9706,0.9658,0.9175,0.1287,0.1837
foldchange_NBD_activity_25C,onehot,random,0,ridge,regression,282,4860,225,57,{'alpha': 1.0},0.6751,0.6434,0.3557,0.3507,0.513,0.8822,0.8578,0.7296,0.2177,0.3324
foldchange_NBD_activity_25C,onehot,random,0,xgboost,regression,282,4860,225,57,"{'n_estimators': 400, 'learning_rate': 0.05, 'max_depth': 6, 'random_state': 42}",0.6338,0.6055,0.189,0.4079,0.5755,0.9659,0.9637,0.9214,0.1202,0.1792
foldchange_NBD_activity_25C,onehot,random,1,rf,regression,282,4860,225,57,"{'n_estimators': 300, 'random_state': 42, 'n_jobs': -1}",0.77,0.7173,0.51,0.2882,0.4071,0.967,0.9649,0.9131,0.1342,0.193
foldchange_NBD_activity_25C,onehot,random,1,ridge,regression,282,4860,225,57,{'alpha': 1.0},0.7744,0.766,0.5777,0.2739,0.3779,0.8772,0.8668,0.7418,0.2259,0.3327
foldchange_NBD_activity_25C,onehot,random,1,xgboost,regression,282,4860,225,57,"{'n_estimators': 400, 'learning_rate': 0.05, 'max_depth': 6, 'random_state': 42}",0.7514,0.6793,0.4457,0.3109,0.433,0.9397,0.9385,0.873,0.1506,0.2334
foldchange_NBD_activity_25C,onehot,random,2,rf,regression,282,4860,226,56,"{'n_estimators': 300, 'random_state': 42, 'n_jobs': -1}",0.699,0.6017,0.3034,0.358,0.5225,0.9719,0.9699,0.9278,0.1222,0.1731
foldchange_NBD_activity_25C,onehot,random,2,ridge,regression,282,4860,226,56,{'alpha': 1.0},0.7246,0.6129,0.3619,0.3433,0.5001,0.8931,0.881,0.7688,0.2196,0.3099
foldchange_NBD_activity_25C,onehot,random,2,xgboost,regression,282,4860,226,56,"{'n_estimators': 400, 'learning_rate': 0.05, 'max_depth': 6, 'random_state': 42}",0.6742,0.5947,0.3108,0.3571,0.5197,0.9605,0.9595,0.9153,0.1301,0.1875
foldchange_NBD_activity_25C,onehot,random,3,rf,regression,282,4860,226,56,"{'n_estimators': 300, 'random_state': 42, 'n_jobs': -1}",0.6185,0.6106,0.3682,0.4087,0.5682,0.9702,0.9679,0.9212,0.1246,0.1744
foldchange_NBD_activity_25C,onehot,random,3,ridge,regression,282,4860,226,56,{'alpha': 1.0},0.6413,0.6777,0.4524,0.376,0.529,0.8949,0.8782,0.763,0.2097,0.3024
foldchange_NBD_activity_25C,onehot,random,3,xgboost,regression,282,4860,226,56,"{'n_estimators': 400, 'learning_rate': 0.05, 'max_depth': 6, 'random_state': 42}",0.6126,0.6429,0.407,0.4,0.5505,0.9548,0.9472,0.8897,0.1338,0.2063
foldchange_NBD_activity_25C,onehot,random,4,rf,regression,282,4860,226,56,"{'n_estimators': 300, 'random_state': 42, 'n_jobs': -1}",0.6788,0.6756,0.4317,0.3369,0.4636,0.97,0.9674,0.92,0.129,0.1819
foldchange_NBD_activity_25C,onehot,random,4,ridge,regression,282,4860,226,56,{'alpha': 1.0},0.749,0.761,0.5559,0.3174,0.4098,0.8732,0.8602,0.7307,0.2235,0.3337
foldchange_NBD_activity_25C,onehot,random,4,xgboost,regression,282,4860,226,56,"{'n_estimators': 400, 'learning_rate': 0.05, 'max_depth': 6, 'random_state': 42}",0.7298,0.7155,0.4873,0.31,0.4404,0.9532,0.9494,0.8928,0.1401,0.2105
foldchange_NBD_activity_25C,georgiev,random,0,rf,regression,282,4617,225,57,"{'n_estimators': 300, 'random_state': 42, 'n_jobs': -1}",0.6778,0.6416,0.3625,0.3594,0.5103,0.9725,0.9677,0.918,0.1282,0.1831
foldchange_NBD_activity_25C,georgiev,random,0,ridge,regression,282,4617,225,57,{'alpha': 1.0},0.6714,0.6572,0.3718,0.35,0.5066,0.8987,0.8768,0.7687,0.1592,0.3074
foldchange_NBD_activity_25C,georgiev,random,0,xgboost,regression,282,4617,225,57,"{'n_estimators': 400, 'learning_rate': 0.05, 'max_depth': 6, 'random_state': 42}",0.6359,0.6261,0.2483,0.4068,0.5541,0.9695,0.9669,0.9293,0.1044,0.17
foldchange_NBD_activity_25C,georgiev,random,1,rf,regression,282,4617,225,57,"{'n_estimators': 300, 'random_state': 42, 'n_jobs': -1}",0.7873,0.7409,0.5475,0.2719,0.3912,0.9698,0.9677,0.9142,0.1355,0.1918
foldchange_NBD_activity_25C,georgiev,random,1,ridge,regression,282,4617,225,57,{'alpha': 1.0},0.7321,0.7285,0.5279,0.303,0.3996,0.8913,0.8861,0.7852,0.1649,0.3034
foldchange_NBD_activity_25C,georgiev,random,1,xgboost,regression,282,4617,225,57,"{'n_estimators': 400, 'learning_rate': 0.05, 'max_depth': 6, 'random_state': 42}",0.736,0.6767,0.4368,0.2947,0.4364,0.9515,0.9527,0.9022,0.1271,0.2048
foldchange_NBD_activity_25C,georgiev,random,2,rf,regression,282,4617,226,56,"{'n_estimators': 300, 'random_state': 42, 'n_jobs': -1}",0.6856,0.6009,0.3177,0.3488,0.5171,0.9728,0.9717,0.9279,0.1226,0.173
foldchange_NBD_activity_25C,georgiev,random,2,ridge,regression,282,4617,226,56,{'alpha': 1.0},0.7452,0.6354,0.4004,0.3261,0.4848,0.9099,0.8983,0.807,0.1664,0.2831
foldchange_NBD_activity_25C,georgiev,random,2,xgboost,regression,282,4617,226,56,"{'n_estimators': 400, 'learning_rate': 0.05, 'max_depth': 6, 'random_state': 42}",0.716,0.6117,0.3448,0.3337,0.5067,0.964,0.963,0.9236,0.1148,0.1781
foldchange_NBD_activity_25C,georgiev,random,3,rf,regression,282,4617,226,56,"{'n_estimators': 300, 'random_state': 42, 'n_jobs': -1}",0.647,0.6257,0.3842,0.4036,0.561,0.9719,0.9698,0.9229,0.1219,0.1724
foldchange_NBD_activity_25C,georgiev,random,3,ridge,regression,282,4617,226,56,{'alpha': 1.0},0.6605,0.6722,0.4473,0.3673,0.5315,0.9075,0.8958,0.8025,0.1594,0.276
foldchange_NBD_activity_25C,georgiev,random,3,xgboost,regression,282,4617,226,56,"{'n_estimators': 400, 'learning_rate': 0.05, 'max_depth': 6, 'random_state': 42}",0.6744,0.6779,0.4542,0.3809,0.5281,0.9592,0.9526,0.9029,0.1163,0.1936
foldchange_NBD_activity_25C,georgiev,random,4,rf,regression,282,4617,226,56,"{'n_estimators': 300, 'random_state': 42, 'n_jobs': -1}",0.6892,0.6788,0.4354,0.3338,0.4621,0.9715,0.969,0.92,0.1294,0.1818
foldchange_NBD_activity_25C,georgiev,random,4,ridge,regression,282,4617,226,56,{'alpha': 1.0},0.7488,0.7528,0.5157,0.3312,0.428,0.8897,0.8786,0.7719,0.1703,0.3071
foldchange_NBD_activity_25C,georgiev,random,4,xgboost,regression,282,4617,226,56,"{'n_estimators': 400, 'learning_rate': 0.05, 'max_depth': 6, 'random_state': 42}",0.7899,0.7614,0.5628,0.2757,0.4067,0.9566,0.9527,0.9016,0.126,0.2016
foldchange_NBD_activity_25C,onehot_esm2_LLR,random,0,rf,regression,282,4861,225,57,"{'n_estimators': 300, 'random_state': 42, 'n_jobs': -1}",0.6048,0.5484,0.1427,0.4009,0.5918,0.974,0.9704,0.9285,0.1181,0.1709
foldchange_NBD_activity_25C,onehot_esm2_LLR,random,0,ridge,regression,282,4861,225,57,{'alpha': 1.0},0.7223,0.7089,0.4694,0.3268,0.4655,0.8825,0.8585,0.7326,0.2165,0.3306
foldchange_NBD_activity_25C,onehot_esm2_LLR,random,0,xgboost,regression,282,4861,225,57,"{'n_estimators': 400, 'learning_rate': 0.05, 'max_depth': 6, 'random_state': 42}",0.5716,0.5483,0.1403,0.3977,0.5926,0.9872,0.9883,0.9717,0.0764,0.1076
foldchange_NBD_activity_25C,onehot_esm2_LLR,random,1,rf,regression,282,4861,225,57,"{'n_estimators': 300, 'random_state': 42, 'n_jobs': -1}",0.8096,0.7722,0.5839,0.2742,0.3751,0.9678,0.966,0.9193,0.1274,0.186
foldchange_NBD_activity_25C,onehot_esm2_LLR,random,1,ridge,regression,282,4861,225,57,{'alpha': 1.0},0.7351,0.7539,0.56,0.2861,0.3857,0.8762,0.8671,0.746,0.2206,0.33
foldchange_NBD_activity_25C,onehot_esm2_LLR,random,1,xgboost,regression,282,4861,225,57,"{'n_estimators': 400, 'learning_rate': 0.05, 'max_depth': 6, 'random_state': 42}",0.7197,0.6727,0.4499,0.328,0.4313,0.984,0.9857,0.9663,0.0847,0.1202
foldchange_NBD_activity_25C,onehot_esm2_LLR,random,2,rf,regression,282,4861,226,56,"{'n_estimators': 300, 'random_state': 42, 'n_jobs': -1}",0.7556,0.6905,0.4456,0.3142,0.4661,0.9712,0.9696,0.9274,0.1176,0.1736
foldchange_NBD_activity_25C,onehot_esm2_LLR,random,2,ridge,regression,282,4861,226,56,{'alpha': 1.0},0.754,0.629,0.3768,0.3347,0.4942,0.894,0.8825,0.7741,0.2157,0.3063
foldchange_NBD_activity_25C,onehot_esm2_LLR,random,2,xgboost,regression,282,4861,226,56,"{'n_estimators': 400, 'learning_rate': 0.05, 'max_depth': 6, 'random_state': 42}",0.7481,0.6647,0.4108,0.3365,0.4805,0.9832,0.9834,0.9622,0.0878,0.1253
foldchange_NBD_activity_25C,onehot_esm2_LLR,random,3,rf,regression,282,4861,226,56,"{'n_estimators': 300, 'random_state': 42, 'n_jobs': -1}",0.6672,0.6918,0.4674,0.3654,0.5217,0.9717,0.9694,0.9272,0.1152,0.1676
foldchange_NBD_activity_25C,onehot_esm2_LLR,random,3,ridge,regression,282,4861,226,56,{'alpha': 1.0},0.69,0.7092,0.4985,0.3521,0.5062,0.8932,0.8778,0.7652,0.208,0.301
foldchange_NBD_activity_25C,onehot_esm2_LLR,random,3,xgboost,regression,282,4861,226,56,"{'n_estimators': 400, 'learning_rate': 0.05, 'max_depth': 6, 'random_state': 42}",0.6556,0.6846,0.4593,0.3742,0.5256,0.9862,0.9858,0.9661,0.0807,0.1143
foldchange_NBD_activity_25C,onehot_esm2_LLR,random,4,rf,regression,282,4861,226,56,"{'n_estimators': 300, 'random_state': 42, 'n_jobs': -1}",0.7447,0.7316,0.5339,0.2948,0.4199,0.9706,0.9669,0.9187,0.1267,0.1833
foldchange_NBD_activity_25C,onehot_esm2_LLR,random,4,ridge,regression,282,4861,226,56,{'alpha': 1.0},0.7839,0.7746,0.5762,0.3146,0.4004,0.8728,0.8607,0.7349,0.2208,0.331
foldchange_NBD_activity_25C,onehot_esm2_LLR,random,4,xgboost,regression,282,4861,226,56,"{'n_estimators': 400, 'learning_rate': 0.05, 'max_depth': 6, 'random_state': 42}",0.7462,0.7245,0.5148,0.3005,0.4284,0.9864,0.9857,0.9651,0.0852,0.1201
foldchange_NBD_activity_25C,onehot_esmc_LLR,random,0,rf,regression,282,4861,225,57,"{'n_estimators': 300, 'random_state': 42, 'n_jobs': -1}",0.6516,0.6222,0.2837,0.3555,0.5409,0.9772,0.9719,0.9302,0.1157,0.1689
foldchange_NBD_activity_25C,onehot_esmc_LLR,random,0,ridge,regression,282,4861,225,57,{'alpha': 1.0},0.7014,0.6963,0.447,0.3325,0.4753,0.8818,0.8584,0.7326,0.2165,0.3305
foldchange_NBD_activity_25C,onehot_esmc_LLR,random,0,xgboost,regression,282,4861,225,57,"{'n_estimators': 400, 'learning_rate': 0.05, 'max_depth': 6, 'random_state': 42}",0.6274,0.5963,0.088,0.4107,0.6103,0.9915,0.9926,0.9816,0.065,0.0867
foldchange_NBD_activity_25C,onehot_esmc_LLR,random,1,rf,regression,282,4861,225,57,"{'n_estimators': 300, 'random_state': 42, 'n_jobs': -1}",0.7312,0.7767,0.592,0.282,0.3715,0.9693,0.9673,0.9196,0.1268,0.1856
foldchange_NBD_activity_25C,onehot_esmc_LLR,random,1,ridge,regression,282,4861,225,57,{'alpha': 1.0},0.7518,0.7585,0.5656,0.2829,0.3833,0.8754,0.8671,0.746,0.2215,0.33
foldchange_NBD_activity_25C,onehot_esmc_LLR,random,1,xgboost,regression,282,4861,225,57,"{'n_estimators': 400, 'learning_rate': 0.05, 'max_depth': 6, 'random_state': 42}",0.7331,0.7832,0.5997,0.2663,0.3679,0.9799,0.9828,0.9605,0.0904,0.1301
foldchange_NBD_activity_25C,onehot_esmc_LLR,random,2,rf,regression,282,4861,226,56,"{'n_estimators': 300, 'random_state': 42, 'n_jobs': -1}",0.7715,0.6535,0.4018,0.3138,0.4842,0.977,0.9742,0.9343,0.115,0.1652
foldchange_NBD_activity_25C,onehot_esmc_LLR,random,2,ridge,regression,282,4861,226,56,{'alpha': 1.0},0.7401,0.6232,0.3745,0.336,0.4951,0.8941,0.8822,0.7737,0.2162,0.3066
foldchange_NBD_activity_25C,onehot_esmc_LLR,random,2,xgboost,regression,282,4861,226,56,"{'n_estimators': 400, 'learning_rate': 0.05, 'max_depth': 6, 'random_state': 42}",0.7595,0.6195,0.3453,0.3238,0.5065,0.9874,0.9874,0.9706,0.0752,0.1105
foldchange_NBD_activity_25C,onehot_esmc_LLR,random,3,rf,regression,282,4861,226,56,"{'n_estimators': 300, 'random_state': 42, 'n_jobs': -1}",0.6694,0.6464,0.3916,0.3685,0.5576,0.973,0.9716,0.9298,0.1156,0.1646
foldchange_NBD_activity_25C,onehot_esmc_LLR,random,3,ridge,regression,282,4861,226,56,{'alpha': 1.0},0.6755,0.7108,0.5007,0.3525,0.5051,0.8933,0.878,0.7652,0.2083,0.301
foldchange_NBD_activity_25C,onehot_esmc_LLR,random,3,xgboost,regression,282,4861,226,56,"{'n_estimators': 400, 'learning_rate': 0.05, 'max_depth': 6, 'random_state': 42}",0.5716,0.5541,0.2608,0.4128,0.6146,0.9897,0.9906,0.9775,0.0661,0.0932
foldchange_NBD_activity_25C,onehot_esmc_LLR,random,4,rf,regression,282,4861,226,56,"{'n_estimators': 300, 'random_state': 42, 'n_jobs': -1}",0.7963,0.765,0.5597,0.2947,0.4081,0.974,0.9686,0.9199,0.1267,0.1819
foldchange_NBD_activity_25C,onehot_esmc_LLR,random,4,ridge,regression,282,4861,226,56,{'alpha': 1.0},0.7915,0.7751,0.5753,0.3192,0.4008,0.8721,0.8605,0.7345,0.2213,0.3313
foldchange_NBD_activity_25C,onehot_esmc_LLR,random,4,xgboost,regression,282,4861,226,56,"{'n_estimators': 400, 'learning_rate': 0.05, 'max_depth': 6, 'random_state': 42}",0.7757,0.7515,0.4869,0.3219,0.4405,0.9843,0.9875,0.97,0.0821,0.1113
foldchange_NBD_activity_25C,georgiev_esm2_LLR,random,0,rf,regression,282,4618,225,57,"{'n_estimators': 300, 'random_state': 42, 'n_jobs': -1}",0.5951,0.5413,0.1386,0.4029,0.5932,0.975,0.9712,0.9289,0.1182,0.1704
foldchange_NBD_activity_25C,georgiev_esm2_LLR,random,0,ridge,regression,282,4618,225,57,{'alpha': 1.0},0.6945,0.7029,0.4513,0.3365,0.4734,0.8985,0.8768,0.7687,0.1591,0.3074
foldchange_NBD_activity_25C,georgiev_esm2_LLR,random,0,xgboost,regression,282,4618,225,57,"{'n_estimators': 400, 'learning_rate': 0.05, 'max_depth': 6, 'random_state': 42}",0.5529,0.5422,0.1356,0.3979,0.5942,0.99,0.9909,0.9784,0.0632,0.094
foldchange_NBD_activity_25C,georgiev_esm2_LLR,random,1,rf,regression,282,4618,225,57,"{'n_estimators': 300, 'random_state': 42, 'n_jobs': -1}",0.807,0.7661,0.5751,0.278,0.3791,0.969,0.9673,0.9196,0.1296,0.1856
foldchange_NBD_activity_25C,georgiev_esm2_LLR,random,1,ridge,regression,282,4618,225,57,{'alpha': 1.0},0.6991,0.7166,0.5069,0.3153,0.4084,0.8913,0.8861,0.7852,0.1648,0.3034
foldchange_NBD_activity_25C,georgiev_esm2_LLR,random,1,xgboost,regression,282,4618,225,57,"{'n_estimators': 400, 'learning_rate': 0.05, 'max_depth': 6, 'random_state': 42}",0.7295,0.7004,0.4896,0.3141,0.4155,0.9846,0.9863,0.9682,0.0796,0.1168
foldchange_NBD_activity_25C,georgiev_esm2_LLR,random,2,rf,regression,282,4618,226,56,"{'n_estimators': 300, 'random_state': 42, 'n_jobs': -1}",0.7428,0.6675,0.4143,0.3187,0.4791,0.9714,0.9698,0.9266,0.1195,0.1746
foldchange_NBD_activity_25C,georgiev_esm2_LLR,random,2,ridge,regression,282,4618,226,56,{'alpha': 1.0},0.7573,0.6369,0.4003,0.3256,0.4848,0.9097,0.8983,0.807,0.1664,0.2831
foldchange_NBD_activity_25C,georgiev_esm2_LLR,random,2,xgboost,regression,282,4618,226,56,"{'n_estimators': 400, 'learning_rate': 0.05, 'max_depth': 6, 'random_state': 42}",0.7447,0.6268,0.3585,0.3296,0.5014,0.9851,0.9853,0.9669,0.0792,0.1173
foldchange_NBD_activity_25C,georgiev_esm2_LLR,random,3,rf,regression,282,4618,226,56,"{'n_estimators': 300, 'random_state': 42, 'n_jobs': -1}",0.669,0.6845,0.4583,0.3696,0.5261,0.9718,0.9697,0.9268,0.1154,0.1681
foldchange_NBD_activity_25C,georgiev_esm2_LLR,random,3,ridge,regression,282,4618,226,56,{'alpha': 1.0},0.6911,0.6971,0.4822,0.3518,0.5144,0.9075,0.8958,0.8025,0.1594,0.276
foldchange_NBD_activity_25C,georgiev_esm2_LLR,random,3,xgboost,regression,282,4618,226,56,"{'n_estimators': 400, 'learning_rate': 0.05, 'max_depth': 6, 'random_state': 42}",0.6702,0.695,0.4775,0.3699,0.5167,0.9871,0.9879,0.9717,0.0715,0.1045
foldchange_NBD_activity_25C,georgiev_esm2_LLR,random,4,rf,regression,282,4618,226,56,"{'n_estimators': 300, 'random_state': 42, 'n_jobs': -1}",0.7485,0.7286,0.5295,0.2962,0.4219,0.9699,0.9668,0.9169,0.1283,0.1854
foldchange_NBD_activity_25C,georgiev_esm2_LLR,random,4,ridge,regression,282,4618,226,56,{'alpha': 1.0},0.7804,0.765,0.5352,0.3283,0.4193,0.8897,0.8786,0.7719,0.1703,0.3071
foldchange_NBD_activity_25C,georgiev_esm2_LLR,random,4,xgboost,regression,282,4618,226,56,"{'n_estimators': 400, 'learning_rate': 0.05, 'max_depth': 6, 'random_state': 42}",0.7813,0.7466,0.5521,0.2841,0.4116,0.987,0.9855,0.9656,0.079,0.1192
foldchange_NBD_activity_25C,georgiev_esmc_LLR,random,0,rf,regression,282,4618,225,57,"{'n_estimators': 300, 'random_state': 42, 'n_jobs': -1}",0.6424,0.6237,0.285,0.3609,0.5404,0.9777,0.9723,0.9307,0.1162,0.1683
foldchange_NBD_activity_25C,georgiev_esmc_LLR,random,0,ridge,regression,282,4618,225,57,{'alpha': 1.0},0.6949,0.6951,0.4402,0.3373,0.4782,0.8985,0.8768,0.7687,0.1591,0.3074
foldchange_NBD_activity_25C,georgiev_esmc_LLR,random,0,xgboost,regression,282,4618,225,57,"{'n_estimators': 400, 'learning_rate': 0.05, 'max_depth': 6, 'random_state': 42}",0.608,0.5843,0.0508,0.4294,0.6227,0.9929,0.9931,0.9834,0.0588,0.0825
foldchange_NBD_activity_25C,georgiev_esmc_LLR,random,1,rf,regression,282,4618,225,57,"{'n_estimators': 300, 'random_state': 42, 'n_jobs': -1}",0.7586,0.7784,0.5923,0.2793,0.3713,0.9697,0.9682,0.9196,0.13,0.1857
foldchange_NBD_activity_25C,georgiev_esmc_LLR,random,1,ridge,regression,282,4618,225,57,{'alpha': 1.0},0.723,0.7241,0.5165,0.3125,0.4044,0.8912,0.8861,0.7852,0.1648,0.3034
foldchange_NBD_activity_25C,georgiev_esmc_LLR,random,1,xgboost,regression,282,4618,225,57,"{'n_estimators': 400, 'learning_rate': 0.05, 'max_depth': 6, 'random_state': 42}",0.7216,0.7762,0.5906,0.2751,0.3721,0.982,0.9852,0.9664,0.0811,0.1201
foldchange_NBD_activity_25C,georgiev_esmc_LLR,random,2,rf,regression,282,4618,226,56,"{'n_estimators': 300, 'random_state': 42, 'n_jobs': -1}",0.767,0.6363,0.3796,0.3157,0.4931,0.9774,0.9745,0.9326,0.1185,0.1673
foldchange_NBD_activity_25C,georgiev_esmc_LLR,random,2,ridge,regression,282,4618,226,56,{'alpha': 1.0},0.7463,0.6376,0.4027,0.3224,0.4838,0.91,0.8983,0.807,0.1664,0.2831
foldchange_NBD_activity_25C,georgiev_esmc_LLR,random,2,xgboost,regression,282,4618,226,56,"{'n_estimators': 400, 'learning_rate': 0.05, 'max_depth': 6, 'random_state': 42}",0.7438,0.5772,0.2894,0.3337,0.5277,0.9879,0.9891,0.9748,0.0676,0.1024
foldchange_NBD_activity_25C,georgiev_esmc_LLR,random,3,rf,regression,282,4618,226,56,"{'n_estimators': 300, 'random_state': 42, 'n_jobs': -1}",0.6725,0.643,0.393,0.3754,0.557,0.9742,0.9731,0.9311,0.1157,0.1631
foldchange_NBD_activity_25C,georgiev_esmc_LLR,random,3,ridge,regression,282,4618,226,56,{'alpha': 1.0},0.6801,0.6942,0.4793,0.3509,0.5158,0.9075,0.8958,0.8025,0.1594,0.276
foldchange_NBD_activity_25C,georgiev_esmc_LLR,random,3,xgboost,regression,282,4618,226,56,"{'n_estimators': 400, 'learning_rate': 0.05, 'max_depth': 6, 'random_state': 42}",0.5877,0.5536,0.2678,0.4126,0.6117,0.9882,0.9892,0.975,0.0654,0.0982
